         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
MAR15     .8792     .8839     .8777      ----     .8818  +.0026         724      .8792         887       10764
JUN15     .8792     .8817B    .8761A     ----     .8798  +.0026          32      .8772           4        1194
SEP15     .8787     .8790     .8751A     ----     .8780  +.0026           3      .8754                    1134
DEC15      ----     .8772B     ----      ----     .8766  +.0026           4      .8740                     508
MAR16      ----      ----      ----      ----     .8759  +.0027                  .8732                      22
JUN16      ----      ----      ----      ----     .8752  +.0028                  .8724                       2
SEP16      ----      ----      ----      ----     .8744  +.0029                  .8715
DEC16      ----      ----      ----      ----     .8740  +.0028                  .8712                       3
MAR17      ----      ----      ----      ----     .8742  +.0027                  .8715
JUN17      ----      ----      ----      ----     .8744  +.0025                  .8719
SEP17      ----      ----      ----      ----     .8747  +.0024                  .8723
DEC17      ----      ----      ----      ----     .8749  +.0023                  .8726
MAR18      ----      ----      ----      ----     .8751  +.0021                  .8730
JUN18      ----      ----      ----      ----     .8753  +.0020                  .8733
SEP18      ----      ----      ----      ----     .8755  +.0018                  .8737
DEC18      ----      ----      ----      ----     .8757  +.0016                  .8741
MAR19      ----      ----      ----      ----     .8760  +.0016                  .8744
JUN19      ----      ----      ----      ----     .8762  +.0014                  .8748
SEP19      ----      ----      ----      ----     .8764  +.0013                  .8751
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                 63447                  45734      108445
CJY CME CANADIAN DOLLAR/JAPANESE YEN CROSSRATE FUTURES
DEC14      ----    102.21B   101.35A   102.04A   102.10    +.14                 101.96                      17
MAR15      ----      ----    101.53A   101.53A   101.75    +.14                 101.61
JUN15      ----      ----      ----      ----    101.39    +.13                 101.26
SEP15      ----      ----      ----      ----    101.02    +.13                 100.89
DEC15      ----      ----      ----      ----    100.61    +.14                 100.47
MAR16      ----      ----      ----      ----    100.15    +.15                 100.00
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                       17
CKO CME CZECH KORUNA FUTURES
DEC14      ----     45260B    45100A     ----     45002    -164                  45166
